name,position,pro_team,PTS,BLK,STL,AST,REB,TO,FGM,FGA,FTM,FTA,3PTM,3PTA,FG%,FT%,3PT%,MPG,MIN
Mason Plumlee,C,DET,11.11111111111111,1.2063492063492063,1.0,3.6984126984126986,8.507936507936508,2.0952380952380953,4.5396825396825395,7.5,2.015873015873016,3.8000000000000003,0.015873015873015872,0.09999999999999999,0.606,0.532,0.112,28.2,28.2
Jordan Clarkson,SG,UTA,15.573529411764707,0.20588235294117646,0.7058823529411765,2.2058823529411766,2.8970588235294117,1.5,5.897058823529412,12.9,1.911764705882353,2.3000000000000003,1.8676470588235294,5.3,0.457,0.834,0.352,25.2,25.2
Killian Hayes,PG,DET,12.507692307692308,0.3076923076923077,1.1076923076923078,5.107692307692307,3.2,2.5076923076923077,4.446153846153846,10.5,1.9538461538461538,2.2,1.6615384615384616,1.6615384615384616,0.424,0.887,0.338,27.7,27.7
Joe Harris,SG,BKN,13.825396825396826,0.30158730158730157,0.6031746031746031,2.2063492063492065,4.2063492063492065,1.507936507936508,5.111111111111111,10.6,1.1904761904761905,1.5,2.4126984126984126,5.6000000000000005,0.482,0.791,0.432,30.9,30.900000000000002
Derrick White,PG,SAS,11.03076923076923,0.9076923076923077,0.7076923076923077,3.707692307692308,3.5076923076923077,1.3076923076923077,3.8,8.2,2.4615384615384617,2.9,0.9692307692307692,2.7,0.463,0.849,0.357,26.2,26.2
Will Barton,SF,DEN,13.133333333333333,0.5,0.7,3.3,4.7,1.6,4.866666666666666,11.2,1.7333333333333334,2.2,1.6666666666666667,4.6,0.435,0.791,0.361,29.0,29.0
Tomas Satoransky,PG,CHI,9.161764705882353,0.10294117647058823,1.1029411764705883,5.102941176470588,3.6029411764705883,1.7058823529411764,3.3970588235294117,7.3999999999999995,1.5147058823529411,1.8,0.8529411764705882,2.4,0.459,0.844,0.355,27.3,27.3
Tristan Thompson,C,BOS,9.706896551724139,0.603448275862069,0.5,1.706896551724138,8.706896551724139,1.396551724137931,4.103448275862069,7.8999999999999995,1.4137931034482758,2.3000000000000003,0.08620689655172414,0.19999999999999998,0.52,0.615,0.391,25.4,25.400000000000002
Norman Powell,SG,TOR,12.746031746031745,0.30158730158730157,1.0,1.7936507936507937,3.0952380952380953,1.3968253968253967,4.650793650793651,9.6,1.746031746031746,2.1,1.6984126984126984,4.3999999999999995,0.485,0.835,0.385,25.1,25.099999999999998
Mo Bamba,C,ORL,8.03125,2.0,0.40625,1.0,6.90625,1.09375,3.203125,6.8,0.84375,1.3,0.78125,2.3,0.472,0.645,0.339,21.0,21.0
Terrence Ross,SG,ORL,14.5,0.30303030303030304,1.0,1.393939393939394,3.303030303030303,1.0,5.0606060606060606,12.200000000000001,1.8636363636363635,2.1999999999999997,2.515151515151515,6.8999999999999995,0.415,0.849,0.365,26.9,26.900000000000002
JJ Redick,SG,NOP,15.161290322580646,0.1935483870967742,0.4032258064516129,2.096774193548387,2.403225806451613,1.1935483870967742,4.82258064516129,10.8,2.693548387096774,3.0,2.8225806451612905,6.5,0.447,0.9,0.434,26.7,26.700000000000003
Marcus Morris Sr.,PF,LAC,12.893939393939394,0.30303030303030304,0.6060606060606061,1.106060606060606,4.5,1.196969696969697,4.484848484848484,10.299999999999999,2.1515151515151514,2.6,1.7727272727272727,4.5,0.436,0.827,0.395,24.3,24.3
Dwight Howard,C,PHL,8.25,1.203125,0.5,0.703125,7.796875,1.296875,3.28125,4.7,1.625,3.2,0.0625,0.1,0.699,0.51,0.565,20.1,20.1
Paul Millsap,PF,DEN,11.245901639344263,0.7049180327868853,0.9016393442622951,1.7049180327868851,5.80327868852459,1.2950819672131149,4.049180327868853,8.4,2.3114754098360657,3.0,0.8360655737704918,2.1,0.482,0.768,0.396,23.5,23.5
Jarrett Culver,SG,MIN,11.363636363636363,0.696969696969697,1.0,1.893939393939394,3.803030303030303,1.393939393939394,4.348484848484849,10.0,1.3636363636363635,2.1,1.303030303030303,3.8999999999999995,0.435,0.652,0.334,26.7,26.7
Kentavious Caldwell-Pope,SG,LAL,10.823529411764707,0.20588235294117646,1.0,1.6029411764705883,2.8970588235294117,0.8970588235294118,3.838235294117647,8.6,1.4705882352941178,1.8,1.6764705882352942,4.5,0.447,0.814,0.373,26.5,26.5
Patrick Williams,SF,CHI,10.015625,0.90625,1.203125,1.703125,5.09375,1.09375,3.765625,7.9,1.328125,1.8,1.15625,1.15625,0.476,0.736,0.349,27.6,27.6
Rajon Rondo,PG,ATL,8.017543859649123,0.10526315789473684,1.0,6.508771929824562,3.807017543859649,2.192982456140351,3.2982456140350878,7.800000000000001,0.5087719298245614,0.8,0.9122807017543859,2.7,0.423,0.634,0.337,24.3,24.299999999999997
De'Andre Hunter,SF,ATL,11.611940298507463,0.29850746268656714,0.7014925373134329,1.5970149253731343,4.0,1.507462686567164,4.253731343283582,9.8,1.5671641791044777,2.0,1.537313432835821,4.4,0.434,0.78,0.351,28.7,28.700000000000003
Aron Baynes,C,TOR,12.435483870967742,0.9032258064516129,0.4032258064516129,2.0,7.903225806451613,1.5,4.82258064516129,10.0,1.6290322580645162,2.0999999999999996,1.1612903225806452,3.3,0.483,0.776,0.351,28.7,28.700000000000003
Patrick Beverley,PG,LAC,7.844827586206897,0.5,1.0,3.793103448275862,5.206896551724138,1.293103448275862,2.7413793103448274,6.6000000000000005,0.8793103448275862,1.2,1.4827586206896552,3.9,0.416,0.736,0.382,27.4,27.400000000000002
Alex Caruso,SG,LAL,7.126984126984127,0.3968253968253968,1.2063492063492063,2.3968253968253967,2.507936507936508,1.2063492063492063,2.4603174603174605,5.7,1.380952380952381,1.8,0.8253968253968254,2.1999999999999997,0.431,0.769,0.372,21.8,21.8
Bol Bol,C,DEN,,,,,,,,,,,,,,,,,
Cole Anthony,PG,ORL,12.6,0.1,0.9,3.4,2.4,2.2,4.466666666666667,10.7,1.6166666666666667,2.1,2.05,2.05,0.417,0.771,0.361,26.3,26.3
Eric Gordon,SG,HOU,16.79310344827586,0.39655172413793105,0.7068965517241379,1.896551724137931,2.293103448275862,1.396551724137931,5.672413793103448,14.200000000000001,2.2586206896551726,2.9,3.189655172413793,9.200000000000001,0.4,0.776,0.346,32.1,32.1
Jeremy Lamb,SG,IND,13.25,0.5,1.1,2.1,4.6,1.1,4.9,10.9,2.216666666666667,2.6,1.2333333333333334,3.6,0.449,0.853,0.341,27.9,27.9
P.J. Tucker,SF,HOU,7.073529411764706,0.39705882352941174,1.2058823529411764,1.2941176470588236,6.294117647058823,0.8970588235294118,2.485294117647059,6.0,0.5441176470588235,0.7000000000000001,1.5588235294117647,4.2,0.413,0.768,0.372,33.2,33.199999999999996
Chris Boucher,PF,TOR,9.7,1.6,0.6,0.6,6.6,0.7,3.35,7.3,2.1666666666666665,2.7,0.8333333333333334,2.8,0.459,0.801,0.295,19.6,19.6
Cam Reddish,SF,ATL,9.065573770491802,0.39344262295081966,0.9016393442622951,1.2950819672131149,3.098360655737705,1.3934426229508197,3.1475409836065573,8.1,1.540983606557377,1.9000000000000001,1.2295081967213115,3.6,0.389,0.814,0.34,22.7,22.7
Nemanja Bjelica,PF,SAC,9.863636363636363,0.5,0.696969696969697,2.196969696969697,5.606060606060606,1.196969696969697,3.757575757575758,7.8999999999999995,0.803030303030303,1.0,1.5454545454545454,3.6999999999999997,0.475,0.797,0.416,24.3,24.3
JaVale McGee,C,CLE,8.34375,1.59375,0.5,0.59375,6.0,1.0,3.671875,5.8,0.96875,1.5,0.03125,0.1,0.632,0.649,0.25,17.6,17.6
Danny Green,SG,PHL,8.738461538461538,0.6,1.0,1.4,3.5076923076923077,0.9076923076923077,3.1076923076923078,7.2,0.5384615384615384,0.7,1.9846153846153847,4.9,0.431,0.768,0.405,25.1,25.1
Rudy Gay,PF,SAS,11.46031746031746,0.5079365079365079,0.6031746031746031,2.0,5.7936507936507935,1.3968253968253967,4.365079365079365,9.299999999999999,1.7619047619047619,2.1,0.9682539682539683,2.8000000000000003,0.469,0.836,0.343,23.2,23.2
Thaddeus Young,PF,CHI,9.681159420289855,0.30434782608695654,1.3043478260869565,1.7971014492753623,4.898550724637682,1.3043478260869565,4.101449275362318,8.5,0.6811594202898551,1.1,0.7971014492753623,2.3,0.483,0.613,0.348,24.1,24.1
Troy Brown Jr.,SF,WAS,10.421875,0.09375,1.296875,2.59375,5.703125,1.09375,4.0625,9.0,1.40625,1.9,0.890625,2.6,0.451,0.741,0.341,27.2,27.2
Monte Morris,PG,DEN,9.776119402985074,0.19402985074626866,0.8955223880597015,3.8059701492537314,2.1044776119402986,0.7014925373134329,3.970149253731343,8.3,0.8059701492537313,1.0,1.0298507462686568,2.5999999999999996,0.479,0.809,0.397,23.7,23.700000000000003
Isaac Okoro,SF,CLE,9.454545454545455,0.696969696969697,0.8939393939393939,1.606060606060606,4.803030303030303,0.8939393939393939,3.590909090909091,7.7,1.3484848484848484,1.9000000000000001,0.9242424242424242,0.9242424242424242,0.467,0.711,0.321,26.9,26.900000000000002
Justin Holiday,SG,IND,9.757575757575758,0.5,1.303030303030303,1.606060606060606,3.606060606060606,1.0,3.3636363636363638,8.299999999999999,1.0757575757575757,1.3,1.9545454545454546,5.1000000000000005,0.405,0.833,0.383,28.3,28.3
Taurean Prince,SF,BKN,13.333333333333334,0.3968253968253968,1.0,2.0952380952380953,5.301587301587301,2.0952380952380953,4.761904761904762,11.799999999999999,1.4603174603174602,1.8,2.3492063492063493,6.5,0.404,0.814,0.362,30.1,30.099999999999998
Jaxson Hayes,C,NOP,8.951612903225806,1.1935483870967742,0.5,1.096774193548387,4.903225806451613,0.9032258064516129,3.2096774193548385,5.199999999999999,2.5,3.8,0.03225806451612903,0.1,0.618,0.657,0.301,20.9,20.9
Trevor Ariza,SF,OKC,8.876923076923077,0.2,1.2,2.1076923076923078,4.3076923076923075,1.0,3.0153846153846153,7.3,1.2307692307692308,1.5,1.6153846153846154,4.6,0.414,0.82,0.352,27.5,27.5
Onyeka Okongwu,C,ATL,9.53968253968254,1.0952380952380953,0.7936507936507936,1.3015873015873016,4.904761904761905,1.6984126984126984,3.888888888888889,7.1000000000000005,1.3968253968253967,1.9000000000000001,0.36507936507936506,0.36507936507936506,0.547,0.733,0.332,22.7,22.7
Tacko Fall,C,BOS,6.888888888888889,0.6944444444444444,,,4.0,1.1111111111111112,3.25,4.300000000000001,0.3888888888888889,1.1,,,0.757,0.344,,9.4,9.399999999999999
Enes Kanter,C,POR,11.10344827586207,0.603448275862069,0.39655172413793105,1.293103448275862,9.0,1.396551724137931,4.637931034482759,8.200000000000001,1.7758620689655173,2.3000000000000003,0.05172413793103448,0.19999999999999998,0.565,0.774,0.247,21.4,21.400000000000002
Matisse Thybulle,SF,PHL,8.34375,0.90625,1.703125,1.59375,1.90625,1.0,3.078125,7.3,0.765625,1.2,1.421875,4.0,0.421,0.641,0.357,24.7,24.7
Cedi Osman,SF,CLE,12.338461538461539,0.2,0.9076923076923077,2.6,4.107692307692307,1.5076923076923077,4.553846153846154,10.4,1.2769230769230768,1.8,1.9538461538461538,5.2,0.438,0.706,0.377,32.1,32.1
Nerlens Noel,C,NYK,7.533333333333333,1.6,1.1,0.9,5.5,1.0,3.1333333333333333,4.9,1.2666666666666666,1.7,,,0.64,0.741,0.306,19.3,19.3
Ish Smith,PG,WAS,10.169230769230769,0.3076923076923077,0.8,4.4,2.9076923076923076,1.2,4.276923076923077,9.5,0.8461538461538461,1.2,0.7692307692307693,2.2,0.45,0.707,0.353,24.9,24.9
Luke Kennard,SG,LAC,12.947368421052632,0.19298245614035087,0.5087719298245614,2.8947368421052633,3.4035087719298245,1.2982456140350878,4.631578947368421,10.5,1.5614035087719298,1.7999999999999998,2.1228070175438596,5.300000000000001,0.441,0.872,0.399,29.3,29.299999999999997
Jabari Parker,PF,SAC,12.092592592592593,0.4074074074074074,0.7962962962962963,1.7962962962962963,5.092592592592593,1.7037037037037037,4.888888888888889,9.9,1.5185185185185186,2.1,0.7962962962962963,2.7,0.494,0.726,0.298,22.0,22.0
Alec Burks,SG,NYK,12.548387096774194,0.3064516129032258,0.8064516129032258,2.403225806451613,4.193548387096774,1.3064516129032258,4.096774193548387,10.100000000000001,2.9838709677419355,3.4000000000000004,1.3709677419354838,3.8,0.406,0.876,0.362,24.9,24.9
Gary Harris,SG,DEN,11.916666666666666,0.3,1.3,2.2,2.7,1.2,4.433333333333334,10.2,1.6333333333333333,2.0,1.4166666666666667,4.1,0.434,0.813,0.346,30.1,30.1
Bobby Portis,PF,MIL,11.661290322580646,0.3064516129032258,0.5967741935483871,1.5,6.193548387096774,1.3064516129032258,4.596774193548387,10.2,1.3225806451612903,1.7000000000000002,1.1451612903225807,3.0999999999999996,0.45,0.776,0.367,22.5,22.5
Jeff Teague,PG,BOS,9.346153846153847,0.3076923076923077,0.8076923076923077,5.0,2.0,1.6923076923076923,3.1923076923076925,7.4,2.2884615384615383,2.7,0.6730769230769231,1.9,0.431,0.849,0.354,22.1,22.1
Dario Saric,PF,PHO,10.246153846153845,0.2,0.6,1.9076923076923078,5.907692307692308,1.3076923076923077,3.753846153846154,8.3,1.4307692307692308,1.7,1.3076923076923077,3.8,0.453,0.842,0.344,25.0,25.0
Aaron Nesmith,SF,BOS,11.863636363636363,0.3939393939393939,0.696969696969697,2.106060606060606,2.893939393939394,1.393939393939394,4.0606060606060606,9.200000000000001,1.1515151515151516,1.3,2.590909090909091,2.590909090909091,0.441,0.887,0.411,24.2,24.2
Boban Marjanovic,C,DAL,10.943396226415095,0.6037735849056604,0.39622641509433965,1.0943396226415094,7.09433962264151,1.509433962264151,4.226415094339623,7.3,2.339622641509434,3.1,0.1509433962264151,0.5,0.58,0.756,0.302,17.0,17.0
Cody Zeller,C,CHA,10.403225806451612,0.5967741935483871,0.6935483870967742,1.596774193548387,6.806451612903226,1.3064516129032258,4.032258064516129,7.6,2.129032258064516,3.0,0.20967741935483872,0.8999999999999999,0.531,0.709,0.24,23.4,23.4
Josh Hart,SG,NOP,9.046875,0.40625,1.0,1.5,5.203125,1.0,3.1875,7.6,1.015625,1.4,1.65625,4.8,0.42,0.724,0.345,26.2,26.2
Darius Bazley,SF,OKC,9.7,1.0,0.6,0.9,5.9,1.2,3.566666666666667,8.6,1.3833333333333333,2.0,1.1833333333333333,3.7,0.414,0.692,0.322,27.3,27.3
Dewayne Dedmon,C,DET,9.21311475409836,1.098360655737705,0.9016393442622951,1.098360655737705,7.39344262295082,1.3934426229508197,3.5737704918032787,7.7,1.1475409836065573,1.4000000000000001,0.9180327868852459,3.0,0.465,0.82,0.307,23.9,23.900000000000002
Luguentz Dort,SG,OKC,11.061538461538461,0.1076923076923077,1.0,1.0,2.5076923076923077,0.7076923076923077,3.9384615384615387,9.1,1.8307692307692307,2.3,1.353846153846154,4.1,0.433,0.795,0.33,29.1,29.1
Cameron Johnson,SF,PHO,10.548387096774194,0.4032258064516129,0.8064516129032258,1.3064516129032258,3.596774193548387,0.6935483870967742,3.596774193548387,8.3,0.9516129032258065,1.2000000000000002,2.403225806451613,5.9,0.433,0.792,0.406,25.4,25.4
Eric Paschall,PF,GSW,11.93939393939394,0.19696969696969696,0.3939393939393939,1.696969696969697,3.803030303030303,1.303030303030303,4.545454545454546,8.799999999999999,2.303030303030303,2.9,0.5454545454545454,1.8,0.517,0.795,0.299,22.8,22.8
Kelly Olynyk,C,MIA,9.2,0.4,0.7076923076923077,1.9076923076923078,4.8,1.3076923076923077,3.1076923076923078,6.5,1.5692307692307692,1.9,1.4153846153846155,3.6,0.477,0.822,0.394,21.0,21.0
Moritz Wagner,C,WAS,10.984375,0.59375,0.703125,1.5,5.703125,1.796875,3.96875,7.7,2.140625,2.6,0.90625,2.6,0.515,0.822,0.347,22.6,22.6
Kevin Knox II,SF,NYK,12.35820895522388,0.5074626865671642,0.5074626865671642,1.2985074626865671,4.402985074626866,1.2985074626865671,4.432835820895522,10.899999999999999,1.9104477611940298,2.7,1.5820895522388059,4.800000000000001,0.406,0.71,0.331,28.4,28.4
Trey Burke,PG,DAL,11.619047619047619,0.09523809523809523,0.6031746031746031,3.507936507936508,2.0,0.9047619047619048,4.523809523809524,10.0,1.492063492063492,1.9000000000000001,1.0793650793650793,2.9,0.453,0.783,0.371,21.7,21.7
Devin Vassell,SG,SAS,10.446153846153846,0.7076923076923077,0.9076923076923077,1.9076923076923078,4.107692307692307,1.4,3.5538461538461537,7.9,1.6153846153846154,2.2,1.7230769230769232,1.7230769230769232,0.449,0.737,0.351,24.9,24.9
Andre Iguodala,SF,MIA,4.839285714285714,0.6964285714285714,0.6964285714285714,2.607142857142857,3.3035714285714284,0.8035714285714286,1.8928571428571428,3.9,0.5,0.9,0.5535714285714286,1.7,0.486,0.561,0.324,20.2,20.2
Dwight Powell,C,DAL,9.704918032786885,0.6065573770491803,0.7049180327868853,1.3934426229508197,5.508196721311475,0.9016393442622951,3.6065573770491803,5.8999999999999995,2.098360655737705,2.9,0.39344262295081966,1.3,0.611,0.724,0.297,23.4,23.400000000000002
Kent Bazemore,SG,GSW,10.203125,0.59375,1.203125,1.90625,4.09375,1.59375,3.484375,8.9,1.890625,2.5,1.34375,3.9,0.392,0.759,0.343,25.3,25.3
Gary Trent Jr.,SG,POR,9.753846153846155,0.3076923076923077,0.9076923076923077,1.1076923076923078,2.0,0.5076923076923077,3.6153846153846154,8.3,0.7384615384615385,0.9,1.7846153846153847,4.6,0.435,0.816,0.389,24.4,24.4
George Hill,PG,OKC,8.96774193548387,0.1935483870967742,0.8064516129032258,2.693548387096774,2.806451612903226,1.0,3.2419354838709675,6.6,1.3064516129032258,1.6,1.1774193548387097,2.8,0.492,0.819,0.42,22.4,22.4
Markieff Morris,PF,LAL,10.21875,0.40625,0.59375,1.5,4.40625,1.296875,3.796875,8.5,1.265625,1.6,1.359375,3.7,0.446,0.787,0.369,22.6,22.6
Jalen Smith,PF,PHO,8.787878787878787,1.0,0.5,0.696969696969697,5.303030303030303,1.393939393939394,3.242424242424242,6.7,1.5909090909090908,2.1,0.7121212121212122,0.7121212121212122,0.483,0.757,0.371,21.8,21.8
Maxi Kleber,PF,DAL,7.696969696969697,1.106060606060606,0.3939393939393939,1.0,4.803030303030303,0.696969696969697,2.757575757575758,6.0,0.9090909090909091,1.0999999999999999,1.2727272727272727,3.5,0.46,0.825,0.364,22.7,22.7
James Johnson,PF,DAL,9.894736842105264,0.8947368421052632,0.8947368421052632,3.1052631578947367,4.298245614035087,1.8070175438596492,3.807017543859649,8.1,1.2280701754385965,1.7999999999999998,1.0526315789473684,3.0999999999999996,0.469,0.683,0.337,24.7,24.700000000000003
Kevin Porter Jr.,SG,CLE,11.75,0.3,1.1,2.5,3.7,2.1,4.383333333333334,9.6,1.7333333333333334,2.3,1.25,3.6,0.456,0.755,0.347,26.6,26.6
Danuel House Jr.,SF,HOU,9.555555555555555,0.5079365079365079,0.9047619047619048,1.2063492063492063,3.9047619047619047,0.7936507936507936,3.2698412698412698,7.5,1.1904761904761905,1.5,1.8253968253968254,4.8999999999999995,0.436,0.797,0.372,27.3,27.3
Nicolas Batum,SF,LAC,8.258620689655173,0.5,0.896551724137931,3.706896551724138,4.896551724137931,1.5,2.9655172413793105,7.0,1.0344827586206897,1.2,1.293103448275862,3.6,0.424,0.856,0.358,29.0,29.0
Derrick Jones Jr.,SF,POR,7.684210526315789,0.7017543859649122,0.8947368421052632,0.8947368421052632,4.0,0.5964912280701754,2.824561403508772,5.699999999999999,1.4912280701754386,2.1,0.543859649122807,2.0,0.497,0.713,0.268,22.0,22.0
Harry Giles III,PF,POR,10.385964912280702,0.5087719298245614,0.8070175438596491,1.894736842105263,6.105263157894737,1.4035087719298245,4.526315789473684,8.2,1.3333333333333333,1.7999999999999998,,,0.551,0.743,,22.3,22.299999999999997
Isaiah Thomas,PG,LAC,12.245283018867925,0.09433962264150944,0.39622641509433965,3.6037735849056602,1.6981132075471699,2.0,4.283018867924528,10.799999999999999,1.8679245283018868,2.3000000000000003,1.8113207547169812,4.8,0.396,0.816,0.377,22.8,22.8
Wesley Matthews,SF,LAL,9.8,0.2,0.7,1.9,2.6,1.0,3.3333333333333335,8.3,1.2,1.5,1.9333333333333333,5.2,0.402,0.795,0.372,27.8,27.8
Luke Kornet,C,CHI,7.071428571428571,0.9047619047619048,0.5,1.0952380952380953,2.9047619047619047,0.5,2.5476190476190474,6.199999999999999,0.6904761904761905,0.8999999999999999,1.2857142857142858,3.9000000000000004,0.409,0.765,0.327,17.9,17.9
Shabazz Napier,PG,WAS,9.692307692307692,0.2,1.1076923076923078,3.6,2.4,1.7076923076923076,3.1538461538461537,7.8,2.0615384615384613,2.5,1.323076923076923,4.0,0.405,0.824,0.331,21.4,21.4
Kira Lewis Jr.,PG,NOP,10.936507936507937,0.09523809523809523,0.9047619047619048,4.095238095238095,2.6031746031746033,2.2063492063492065,4.063492063492063,9.6,1.7936507936507937,2.3000000000000003,1.0158730158730158,1.0158730158730158,0.423,0.779,0.327,20.3,20.3
Malik Monk,SG,CHA,11.920634920634921,0.30158730158730157,0.5079365079365079,2.3968253968253967,3.2063492063492065,1.6031746031746033,4.4603174603174605,10.5,1.6507936507936507,2.0,1.3492063492063493,4.6000000000000005,0.425,0.827,0.295,24.6,24.599999999999998
Tyrese Maxey,SG,PHL,,,,,,,,,,,,,,,,,
RJ Hampton,PG,DEN,,,,,,,,,,,,,,,,,
Jonathan Isaac,SF,ORL,,,,,,,,,,,,,,,,,
D.J. Augustin,PG,MIL,9.904761904761905,,0.6031746031746031,4.301587301587301,2.0952380952380953,1.3968253968253967,3.1746031746031744,7.3,2.2698412698412698,2.6,1.2857142857142858,3.3000000000000003,0.434,0.874,0.388,23.5,23.5
Patty Mills,PG,SAS,10.776119402985074,0.1044776119402985,0.7014925373134329,2.4029850746268657,1.8955223880597014,1.0,3.671641791044776,8.7,1.2985074626865671,1.5,2.1343283582089554,5.6,0.422,0.864,0.381,23.4,23.4
Glenn Robinson III,SF,SAC,10.274193548387096,0.1935483870967742,0.8064516129032258,1.403225806451613,3.693548387096774,0.8064516129032258,4.048387096774194,8.399999999999999,1.1129032258064515,1.2999999999999998,1.064516129032258,2.8,0.481,0.859,0.382,25.7,25.700000000000003
Zach Collins,C,POR,9.833333333333334,1.0925925925925926,0.5,1.5,6.203703703703703,1.5925925925925926,3.6666666666666665,7.8,1.6111111111111112,2.1,0.8888888888888888,2.6,0.47,0.771,0.34,27.5,27.5
Marquese Chriss,PF,GSW,7.163636363636364,0.8,0.6,1.309090909090909,4.909090909090909,1.1090909090909091,2.709090909090909,5.5,1.4545454545454546,2.0,0.2909090909090909,1.2,0.491,0.727,0.246,16.7,16.7
Cory Joseph,PG,SAC,6.695652173913044,0.30434782608695654,0.8985507246376812,3.5072463768115942,3.0,1.0,2.681159420289855,6.4,0.6231884057971014,0.8,0.7101449275362319,2.1,0.418,0.779,0.341,24.9,24.9
Alex Len,C,TOR,9.421875,0.90625,0.40625,1.09375,6.09375,1.09375,3.65625,6.9,1.625,2.5,0.484375,1.5,0.529,0.653,0.325,19.3,19.3
Precious Achiuwa,PF,MIA,,,,,,,,,,,,,,,,,
Tyus Jones,PG,MEM,6.818181818181818,0.10606060606060606,1.0,4.303030303030303,1.696969696969697,0.803030303030303,2.727272727272727,6.1000000000000005,0.7121212121212122,0.9,0.6515151515151515,1.8,0.447,0.798,0.358,19.9,19.900000000000002
T.J. McConnell,PG,IND,6.4393939393939394,0.19696969696969696,0.8939393939393939,4.303030303030303,2.606060606060606,1.303030303030303,2.9393939393939394,5.7,0.4090909090909091,0.5,0.15151515151515152,0.39999999999999997,0.516,0.812,0.365,19.7,19.7
Reggie Jackson,PG,LAC,11.678571428571429,0.10714285714285714,0.5,3.607142857142857,2.1964285714285716,1.5,4.178571428571429,10.0,1.7857142857142858,2.1,1.5357142857142858,4.2,0.418,0.848,0.367,21.6,21.599999999999998
Justise Winslow,SF,MEM,9.444444444444445,0.2962962962962963,0.7962962962962963,3.0925925925925926,4.796296296296297,1.5925925925925926,3.7222222222222223,8.799999999999999,1.0740740740740742,1.7,0.9259259259259259,2.6,0.422,0.637,0.355,24.6,24.6
Josh Okogie,SG,MIN,8.615384615384615,0.4,1.1076923076923078,1.4,3.8,1.2,2.8153846153846156,6.6,2.123076923076923,2.7,0.8615384615384616,2.7,0.427,0.784,0.318,24.3,24.3
Bruce Brown,SG,BKN,8.081967213114755,0.5081967213114754,1.0,3.5081967213114753,4.295081967213115,1.5081967213114753,3.1147540983606556,7.1000000000000005,1.3278688524590163,1.8,0.5245901639344263,1.5999999999999999,0.438,0.74,0.331,26.6,26.599999999999998
Jakob Poeltl,C,SAS,5.584615384615384,1.2,0.5076923076923077,1.4,5.2,0.8,2.476923076923077,3.9,0.6307692307692307,1.2,,,0.636,0.521,0.5,16.9,16.9
Dorian Finney-Smith,PF,DAL,7.758064516129032,0.5,0.6935483870967742,1.3064516129032258,4.806451612903226,0.9032258064516129,2.8225806451612905,6.300000000000001,0.9354838709677419,1.2999999999999998,1.1774193548387097,3.4000000000000004,0.449,0.717,0.348,25.1,25.1
Austin Rivers,SG,NYK,8.746268656716419,0.19402985074626866,0.7014925373134329,2.0,2.1940298507462686,0.8059701492537313,3.1940298507462686,7.699999999999999,0.9402985074626866,1.5,1.4179104477611941,4.1,0.415,0.622,0.345,24.7,24.700000000000003
Kris Dunn,PG,ATL,6.678571428571429,0.30357142857142855,1.3035714285714286,3.1964285714285716,2.8035714285714284,1.3035714285714286,2.732142857142857,6.3,0.75,1.0,0.4642857142857143,1.5999999999999999,0.434,0.757,0.295,19.3,19.3
Nicolo Melli,PF,NOP,9.444444444444445,0.5079365079365079,0.7936507936507936,1.7936507936507937,4.2063492063492065,1.0952380952380953,3.2698412698412698,7.3,1.2063492063492063,1.5999999999999999,1.6984126984126984,4.8,0.448,0.754,0.354,23.5,23.5
Taj Gibson,PF,NYK,8.676923076923076,0.5076923076923077,0.6,1.0,5.507692307692308,0.9076923076923077,3.6615384615384614,6.4,1.2769230769230768,1.7,0.07692307692307693,0.3,0.572,0.75,0.272,22.0,22.0
Kyle Anderson,SF,MEM,6.08955223880597,0.5970149253731343,0.8955223880597015,2.298507462686567,4.597014925373134,1.0,2.5223880597014925,5.0,0.7761194029850746,1.2000000000000002,0.26865671641791045,1.0,0.504,0.643,0.262,20.8,20.799999999999997
Jeff Green,PF,BKN,10.507692307692308,0.4,0.5076923076923077,1.3076923076923077,3.4,1.1076923076923078,3.646153846153846,7.8,2.046153846153846,2.4,1.1692307692307693,3.4,0.468,0.852,0.346,23.2,23.2
Royce O'Neale,SF,UTA,6.696969696969697,0.3939393939393939,0.803030303030303,2.393939393939394,5.196969696969697,1.0,2.409090909090909,5.3999999999999995,0.6818181818181818,0.9,1.196969696969697,3.1,0.447,0.762,0.387,28.7,28.7
Shake Milton,PG,PHL,8.169491525423728,0.2033898305084746,0.5084745762711864,1.7966101694915255,2.1016949152542375,0.8983050847457628,2.9322033898305087,6.1,1.0,1.3,1.305084745762712,3.0,0.48,0.771,0.434,17.5,17.5
Jalen Brunson,PG,DAL,9.688524590163935,0.09836065573770492,0.5081967213114754,3.6065573770491803,2.6065573770491803,1.2950819672131149,3.7868852459016393,8.1,1.2295081967213115,1.5999999999999999,0.8852459016393442,2.5,0.467,0.772,0.354,21.9,21.900000000000002
Bryn Forbes,SG,MIL,11.0,,0.5,1.703125,2.09375,0.90625,3.84375,9.1,1.078125,1.3,2.234375,5.7,0.423,0.829,0.393,25.2,25.2
Langston Galloway,SG,PHO,10.476923076923077,0.2,0.7076923076923077,1.5076923076923077,2.4,0.6,3.6,8.5,1.2,1.4,2.076923076923077,5.3,0.424,0.855,0.391,26.3,26.3
Nico Mannion,PG,GSW,,,,,,,,,,,,,,,,,
